时间,点赞,评论
2021.12.22,806,为什么被少女刀了第一反应是心疼摄像机啊，而且还配的那么传神[喜极而泣][喜极而泣][喜极而泣]
2021.12.19,5121,太太今天穿的什么颜色呀[脸红]
2021.12.19,2702,太太配的很好！！！三连支持！！！[打call]
2021.12.19,1401,希望绫人太太配音DIO的点个赞
2021.12.19,865,原作推特画师安田现象，都是没有配音的gif推特@gensho_yasuda喜欢可以去关注[Cat_coffeebath]
2021.12.19,321,《关于太太因为配不好而请求得到一个配音指导》[doge]
2021.12.19,616,公告:今日，《地球ol》出现了某up粉丝莫名发情情况，我们的技术人员已经在处理了，希望各位玩家能够继续安心游戏——《地球ol》运营组[doge]
2021.12.20,69,太太能不能配一次王喜顺圣经《啊对对对》[doge][doge]我用两个币加关注跟你换[doge]
2021.12.19,185,纯路人，第一次进来就被up的声音所折服了，一直想不通为什么这么好的视频点赞投币不多呢？明明有这么多粉丝的，不会真有粉丝不但不给三连，甚至连币也不投赞也不点吧，真是太过分了[傲娇]
2021.12.21,24,太太可以把安田老师的作品都配上一遍吗！超想听的[打call][打call][打call]
2021.12.22,7,依旧能想起直播的时候太太配的绝望求救的样子啊哈哈哈哈哈[脸红][doge]
2021.12.22,2,红头发让我总以为是迪卢克（bushi）
2021.12.19,45,太太太太太太乐
2021.12.20,16,太太，以后能不能多配一点点这种无口少女啊，我觉得我突然发现了我的xp，好好听
2021.12.19,22,卧↑～槽！
2021.12.19,9,哇，很喜欢这个系列，希望可以继续配这些[热词系列_三连]
2021.12.20,7,我想听昨天晚上太太的asmr[doge]
2021.12.19,7,在奇怪时间直播的太太[doge]
2021.12.19,12,@理と迷宮の少女蓮華[脱单doge]
2021.12.22,2,本期主题：额的生煎！
2021.12.21,2,没事，叫那娃过来，它伤不到俺[doge][脱单doge]
2021.12.21,2,斯巴拉西！！！！[脸红]
2021.12.21,2,你做得好，你做得好啊！
2021.12.20,2,00：32
2021.12.20,5,昨天B站居然没有推给我。[傲娇][傲娇]
2021.12.19,11,太太下次水印可以试试稍微靠下一点挨着字幕试试吗？感觉那样也挺好的
2021.12.19,4,一个人就是一部剧的配音演员，真是厉害的姐姐[微笑]
2021.12.20,4,省流：没有二仙桥声线
2021.12.20,3,省流：这期没有大爷[狗子]
2021.12.20,3,哦哦哦太太配了这个！！！终于看到有配音的了！！好想抱着太太绕操场跑十圈啊(*¯︶¯*)
2021.12.19,4,"这个，我记得哔站专门有搬运的，特别流畅的感觉
那个吃手的没有啊[doge]"
2021.12.19,2,你配的好啊
2021.12.23,1,双厨狂喜
2021.12.23,1,配得好棒，感觉赋予了灵魂！
2021.12.19,11,wc，双厨狂喜，两位老师都好棒[打call][打call]
2021.12.23,1,好！
2021.12.19,3,今天是空气哦[脱单doge]
2021.12.23,1,什么番？
2021.12.23,1,这次你配音不行，无声版才是最棒的
2021.12.21,1,有授权吗？
2021.12.22,1,还不如把枪给我，👴比你打的准多了。
2021.12.21,1,这啥番啊
2021.12.23,1,她还是那么想刀我
2021.12.21,1,给了三连可以把内裤还给我吗[脸红]
2021.12.22,1,太太冲冲冲！[打call]
2021.12.22,1,[脸红]
2021.12.22,1,感觉语气“哼，啊，啊呜……”之类的太多了，听起来有点尬，当然配的还是很好的
2021.12.20,2,太太今天穿的纯白色呢
2021.12.19,2,求求你了，出道吧[大哭][大哭]
2021.12.23,4,op真下头
2021.12.23,1,[脸红]
2021.12.22,2,"此刻动画区排行榜1,2,8,9都是原神相关，4是mhy鹿鸣，6的UP主叫凌人太太啊。黑暗笼罩B站动画区[doge]"
2021.12.22,1,看的我想结婚了[doge]
2021.12.21,1,没配音的时候，我还以为，第一段我本来想说你不要过来呀！但发现拍视频的也是女生，所以就制止了这行为
2021.12.20,1,果然还是太太配的好，比某些摆烂蹭热度的好多了
2021.12.20,1,没看懂 所以这是重要的还是不重要的 对比呢
2021.12.20,1,卧槽！
2021.12.20,1,🥵🥵🥵
2021.12.20,1,太太什么时候出道，等你的第一个作品！
2021.12.20,1,[来古-震撼]贴贴
2021.12.20,1,喜欢二次元的女生٩(๛ ˘ ³˘)۶❤
2021.12.20,1,第三个画面，吓得我手机差点掉茅坑。
2021.12.20,1,一看就是有点东西的，不是随便配的[歪嘴][歪嘴]
2021.12.20,1,[大笑]
2021.12.20,1,代入感一下就上来了，太太好棒三连奉上！
2021.12.20,1,嗯～妈呀，哦一系呀哦一系
2021.12.20,1,厉害了三连关注了！真的很棒啊
2021.12.20,1,这几天内裤都洗干净了，就怕太太忽然问我穿什么样的内裤，我都要一份[doge]
2021.12.20,1,双厨狂喜[打call]
2021.12.20,1,昨晚直播在现场，原来录的就是这个视频呀[脸红]
2021.12.20,1,双厨狂喜了属于是[脱单doge]
2021.12.20,1,这期真的特喜欢。。希望能多来点，尤其最后的声线真的太喜欢了
2021.12.20,1,这个作者真的好厉害
2021.12.20,1,请问这里面都是什么番？up配的很好，超感兴趣
2021.12.20,1,[初音未来_nice]
2021.12.20,1,太可爱了太太！！
2021.12.20,1,好耶是少女现象！[给心心][给心心]
2021.12.20,1,太棒了
2021.12.20,1,这个真的是赋予了灵魂[星星眼]
2021.12.19,1,这个作画分镜已经比现在其他的动画好好太多了。
2021.12.19,1,a  wsl
2021.12.19,1,少女音好带感[惊喜]
2021.12.19,1,天才啊
2021.12.19,1,老婆
2021.12.19,1,安田现象
2021.12.19,1,身临其境，很有感觉。
2021.12.19,1,[脸红][脸红]
2021.12.19,1,[有栖mana_打call]
2021.12.19,1,[脸红]
2021.12.19,1,请up标明出处吧 这个好像是哔站某up做的动画[脸红]
2021.12.19,1,这咋还睡得着啊
2021.12.19,1,[脸红]
2021.12.19,1,配得好棒好可爱好生动！[跪了][跪了]
2021.12.19,1,我一直以为是脑袋落地，谢谢你，相机
2021.12.19,1,好牛逼！不同的语气完全就是不一样的性格了！好棒啊啊啊！
2021.12.19,1,[脸红][脸红][脸红]
2021.12.19,1,这是我的币，这是我的赞，这是我的收藏[热词系列_三连]
2021.12.19,1,最后的那个声线好喜欢啊
2021.12.19,1,这类是什么动漫啊
2021.12.19,1,这是我的币，这是我的赞，这是我的收藏[热词系列_三连]
2021.12.19,1,最后的那个声线好喜欢啊
2021.12.19,1,这类是什么动漫啊
2021.12.19,1,这不是莲华的作品么
2021.12.19,1,什么动漫？还是游戏？
2021.12.19,1,卧槽！！太灵魂了。
2021.12.19,1,[嗑瓜子][嗑瓜子][嗑瓜子]我只收藏
2021.12.19,1,是番剧吗 什么番
2021.12.19,1,第一个出场的动漫什么名字啊
2021.12.19,1,[脸红]
2021.12.19,1,[脸红]
2021.12.19,1,喜欢红发美少女[脸红]
2021.12.19,1,什么番
2021.12.19,1,太太我给你三连了但是我想问你个问题  你今天穿的什么颜色[脸红]
2021.12.19,1,三连大大滴有[脸红]
2021.12.19,1,(=・ω・=)
2021.12.19,1,点赞投币不收藏，我是不是很聪明[doge]
2021.12.19,1,0:33
2021.12.19,1,切瓜的那个呢
2021.12.19,1,太太，水印要会动[OK]
2021.12.19,1,[脸红]
2021.12.19,1,好耶
2021.12.19,1,这个是什么动漫吗？哪位好心人能告诉吗？[脸红][脸红]
2021.12.19,1,这不是少女现象吗
2021.12.19,1,我的头还不是摄像头我还能不能找到对象[热词系列_破防了]
2021.12.19,1,双厨狂喜，少女印象跟绫人太太欧耶
2021.12.19,1,狗乔伊不出视频了，那多余的币我投给你罢
2021.12.19,1,拥有了太太大概就拥有了整个二次元吧
2021.12.19,1,卧~~~槽！欧尼~~酱！你怎么这么熟练啊！！
2021.12.19,1,太太你都80W粉了 当初关注你才几万
2021.12.19,1,太太考虑配个怀民亦未寝吗[doge]
2021.12.19,1,我滴圣剑
2021.12.19,1,居然还是百合戏！！！杀了我！！！杀了我给这对儿助兴！！！
2021.12.19,1,在想骚话试图借此引起我太太注意的你们真的好笑[doge]
2021.12.19,1,[tv_流鼻血][tv_流鼻血][tv_流鼻血]
2021.12.19,1,白嫖党终究失败，但是我宁死不屈[脱单doge]
2021.12.19,1,301来了，太太好啊[OK]
2021.12.19,1,最近都是安田老师作品的配音，老师要火[打call]
2021.12.19,1,我朋友说他好了[脱单doge]
2021.12.19,1,太太今天穿的什么颜色呀[脸红]
2021.12.19,1,301来了，太太好啊[OK]
2021.12.19,1,最近都是安田老师作品的配音，老师要火[打call]
2021.12.19,1,我朋友说他好了[脱单doge]
2021.12.19,1,太太今天穿的什么颜色呀[脸红]
2021.12.19,1,hi老婆[doge]
2021.12.19,1,不懂就问，这是什么番
2021.12.19,1,✿ヽ(°▽°)ノ✿
2021.12.19,1,太太啊太太，没有太太我会坏掉的....啊
2021.12.19,1,我... 真的心动了[爱心][给心心][喜欢]
2021.12.19,1,蛮心疼相机的
2021.12.19,1,速い!ぶっちゃけ!今日の下着の色は何色!！！！[藏狐]
2021.12.19,1,直播的时候都快听笑岔气了，再次看到这个卧槽还是没忍住[脸红][脸红][脸红]
2021.12.19,1,白嫖up 真香
2021.12.19,1,每日任务  卧槽（1/1）[doge]
2021.12.19,1,[微笑]
2021.12.19,1,我三连了，还有，今天我穿的是粉玫瑰花纹[脸红]
2021.12.19,1,这种视频剪辑往往需要庞大的阅片量和工作量，而且还要往返观看看视频衔接过渡是否顺畅，还要耗费很多时间，所以看在up主那么辛苦的份上，能不能给我点个赞[doge]
2021.12.19,1,今天穿的蓝白碗太太要来杀我吗[藏狐]
2021.12.19,1,偷偷关注好久了，哎嘿嘿嘿嘿嘿嘿[藏狐]
2021.12.19,1,卧槽，吾爱惜蒂斯！[滑稽]
2021.12.19,1,卧槽~[脸红]好喜欢御姐音[脱单doge]
2021.12.19,1,高产似太太[doge]
2021.12.19,1,太太多来一点啊，我什么都会做的
2021.12.19,1,那节个被手指指的视频没人撅屁股吗[doge][doge]
2021.12.19,1,前面的战斗是什么番？
2021.12.19,1,太太的每个视频都有热门的潜力[热词系列_好耶]
2021.12.19,1,整一个pop子和pipi美[doge]
2021.12.19,1,《卧槽》
2021.12.19,1,[脸红]
2021.12.19,1,后来她去b站当了up主，而我留在了原地，风终究吹不到天空，平凡的我也配不上她，我依旧叫她绫人同学，而她只叫我三连[藏狐]
2021.12.19,1,生草
2021.12.19,1,莲华大大！
2021.12.19,1,好奇问问，这个系列短片有没有原版作者的b站号
2021.12.19,1,内裤太太好[热词系列_夺笋呐]
2021.12.19,1,这是什么番！
2021.12.19,1,[恋乃夜舞_心][恋乃夜舞_好耶]
2021.12.19,1,太太不休息了吗
2021.12.19,1,双厨狂喜
2021.12.19,1,梦幻配音！
2021.12.19,1,太太我今天没穿[脱单doge]
2021.12.19,1,只有我可以被太太调教[滑稽]
2021.12.19,1,tql
2021.12.19,1,嫂子的出处都是那，大哥们知道吗
2021.12.19,1,双厨狂喜[脱单doge]
2021.12.19,1,很喜欢最后一句[doge]
2021.12.19,1,太太我今天也喜歡你✿ヽ(°▽°)ノ✿
2021.12.19,1,为什么最近安田现象的二创配音这么火呀
2021.12.19,1,多来点
2021.12.19,1,呜哇！吃面包的少女终于能发语音了[大哭][大哭][大哭][大哭][大哭]
2021.12.19,1,芜湖[热词系列_芜湖起飞]
2021.12.19,1,这个画质[哭泣]
2021.12.19,1,是不是少了个少女提刀从楼顶跳下去的一场。。
2021.12.19,1,对象对我进行家暴，恶婆婆对我冷嘲热讽，最好的闺蜜竟在我家勾引我老公。我无数次的忍耐与原谅换来的只有变本加厉。忍无可忍就无需再忍，原来今天是疯狂星期天，谁请我肯德基，吃完继续倾听我的复仇计划
2021.12.19,1,太太晚上好[羞羞]
2021.12.19,1,太太，私信你你也不回复我，我只想告诉你，今天的我没～穿～哦～
2021.12.19,1,这是什么动漫呀，看起来挺好玩的
2021.12.19,1,太太今天可定没穿！[doge]
2021.12.19,1,双厨狂喜！
2021.12.19,1,这是啥番？[鼓掌]
2021.12.19,1,直播从直播间无缝衔接过来[脱单doge]
2021.12.19,1,芜湖！！安田现象！！！
2021.12.19,1,刚才在直播间疯狂卡壳，这会儿总算是看到成品了
2021.12.19,1,竟然联动了[给心心][给心心][给心心]
2021.12.19,1,不要多嘴[阴险]
2021.12.19,1,只能听到大的好难受
2021.12.19,1,嘶哈嘶哈是太太[脱单doge]
2021.12.19,1,太太：大家消停点，别再私聊我内衣颜色了。（一分钟后）我今天的内衣是肉色的，大家的是什么颜色，快点告诉我.jpg[doge]
2021.12.19,1,卧槽
2021.12.19,1,报告太太，今天是灰色的[脱单doge]
2021.12.19,1,直播在逃人员[脱单doge]
2021.12.19,1,《论配音指导的重要性》
2021.12.19,1,绫人太太，著名卧槽区up主[狗子]
2021.12.19,1,太太骂我，斯哈斯哈~~[泠鸢yousa_加大力度][泠鸢yousa_加大力度]
2021.12.19,1,不可能想出热评了…唉（我是太太的狗）
2021.12.19,1,太太总是能精准地预知我在看什么[羞羞]
2021.12.19,1,我要给太太的狗做绝育[保卫萝卜_哇]
2021.12.19,1,老婆回我[脸红][藏狐][doge][微笑][OK][星星眼]
2021.12.19,1,太太御姐声线真的是太棒了！
2021.12.19,1,好耶！双厨狂喜！是安田老师和太太同台啊啊
2021.12.19,1,我今天穿的白的哦[给心心][给心心][给心心]
2021.12.19,1,woc[doge]
2021.12.19,1,没有叼面包那个动画我不是很认可[狗子]
2021.12.19,1,太太我今天也穿肉色的
2021.12.19,1,卧槽[脸红]
2021.12.19,1,这些都是啥番？？？
2021.12.19,1,@理と迷宮の少女蓮華
2021.12.19,1,难得来到太太没过万的视频，留个沙发，有人来排排坐吗？[doge]
2021.12.19,1,daisiki
2021.12.19,1,视频里的短发姑娘是不是就是太太呢[doge]
2021.12.19,1,彦祖  我知道你想听这个  00:32
2021.12.19,1,[藏狐]
2021.12.19,1,本期含焯！
2021.12.19,1,可恶，那么前排想不起来骚话[脱单doge]
2021.12.19,1,众所周知，太太只会三种声线
2021.12.19,1,不会说骚话，各位有什么头绪吗[脱单doge][脱单doge]
2021.12.19,1,没有骚话
2021.12.19,1,[doge]今天是肉色的
2021.12.19,1,百合贴贴！[吃瓜]
2021.12.19,1,養好了
2021.12.19,1,好耶
2021.12.19,1,[doge]今天是肉色的
2021.12.19,1,百合贴贴！[吃瓜]
2021.12.19,1,養好了
2021.12.19,1,好耶
2021.12.19,1,好耶，太太配安田现象了
2021.12.19,1,给我啊啊啊啊啊啊啊啊
2021.12.19,1,《你在看别的女人吗？》
2021.12.19,1,[给心心][给心心]
2021.12.19,1,早早的打卡
2021.12.19,1,嗷，腹黑病娇嗷，太太您把我阉了吧[喜欢]
2021.12.19,1,在现场听到过WC
2021.12.19,1,一分钟前，老婆，嘿嘿[来古-注意]
2021.12.19,1,我是太太的狗！
2021.12.19,1,来了来了！！
2021.12.19,1,枪声配的好啊太太
2021.12.19,1,太太为什么下播了
2021.12.19,1,哇！赶上了新鲜的！
2021.12.19,1,被我看到了
2021.12.19,1,来了[给心心]
2021.12.19,1,一播放116点赞[脸红]
2021.12.19,1,[热词系列_妙啊]
2021.12.19,1,啊？。？。怎么没弹幕
2021.12.19,1,前排，太太我爱你[喜欢]
2021.12.19,1,双厨狂喜欸
2021.12.19,1,太快了
2021.12.19,1,卧槽[doge]
2021.12.19,1,卧槽[不问天_赞]
2021.12.19,1,卧槽
2021.12.19,1,这种视频再给我来一打！
2021.12.19,1,论评论快速的重要性
2021.12.19,4,太太我今天穿的黑色的哦[doge]
2021.12.19,2,卧槽厉害啊，原素材在tiktok看过，加了配音又是另一种感觉
2021.12.19,2,在现场，太太当场配的[脱单doge]
