时间,点赞,评论
2021.12.19,2,配得很好 奖励你再配1伯个视频[支持]
2021.12.21,1,@常态佰家
2021.12.20,1,额滴肾剑，额滴肾剑，啊！啊啊啊啊！
2021.12.20,1,声音不自然
2021.12.20,1,好耶，是现象老师的作品[脱单doge]
2021.12.20,1,什么时候放飞自我
2021.12.20,1,话说第二个叫什么名字[鼓掌]
2021.12.20,1,安田老师！！
2021.12.20,1,画质感人肺腑之言足以证明
2021.12.20,1,芜湖
2021.12.20,1,[脸红]
2021.12.20,1,你戳我眼是吧
2021.12.20,1,好活，总算有个配音[给心心]
2021.12.20,1,[脸红][脸红]
2021.12.20,1,什么番啊[脸红]
2021.12.20,1,内个 第一个原出处是啥啊
2021.12.20,1,这个卧槽是多么自然啊
2021.12.20,1,[脸红]
2021.12.20,1,卧槽字正腔圆[吃瓜]
2021.12.20,1,太软了，不适合安田效应
2021.12.20,1,[脸红]
2021.12.20,1,挺有趣的
2021.12.20,1,我的天，难得太太今儿不整活，好听啊！！
2021.12.20,1,这，授权了吗，授权了在简介写一下
2021.12.20,1,这声音听着就很大[脸红]
2021.12.20,1,攒了这么多年的币，我终于知道用在哪里了。
2021.12.20,1,那句卧槽不太明显，新人可能会觉得，这原片有啥好看的[doge]
2021.12.20,1,看了这么多，这居然是最正常的
2021.12.20,1,莫笑狐人一只眼
2021.12.20,1,好！在现场，我是相机
2021.12.20,1,记忆仍然停留在：你看看我呀，焯！[doge]
2021.12.20,1,啊 是太太啊 啊啊啊啊 好喜欢啊
2021.12.20,1,最后的声线，喜欢啊[脸红][脸红]
2021.12.20,1,太太我投了 能看看我穿的肉色吗
2021.12.20,1,最后缓冲了是吧
2021.12.20,1,没有额滴圣剑我不是很能接受
2021.12.20,1,太棒了，有生之年[doge]
2021.12.20,1,配的真好，你币有了[热词系列_你币有了]
2021.12.20,1,梦幻联动
2021.12.20,1,梦幻联动
2021.12.20,1,很真实，前面被戳瞎一只眼，所以最后戴面具只有一只眼能看见[藏狐]
2021.12.20,1,原片是什么，求[蛆音娘_偷看]
2021.12.20,1,"4级号是一种可怕的猫科生物，它会试图吃掉所有路过的3级号，并发出呼呼的低吼
(=・ω・=)"
2021.12.20,1,[脸红] 脸红什么
2021.12.20,1,好棒[脸红]
2021.12.20,1,这也太强了吧
2021.12.19,1,双厨狂喜！[热词系列_好耶]
2021.12.19,1,每日一焯
2021.12.19,1,太太时不时插一句国语是真的很上头。之前那个giegie我看了2个月了每天一遍[妙啊]
2021.12.19,1,这个大佬的作品也开始被多人二创了呢
2021.12.19,1,卧槽
2021.12.19,1,黑短发妹妹太让我心动了！！！！！冷淡音太勾人了！！！！妹妹，砸我，砸我，使劲儿砸我，砸死我[喜欢][喜欢][喜欢]
2021.12.19,1,太太终究还是对内衣失去了兴趣[doge]
2021.12.19,1,好家伙
2021.12.22,1,看的我想结婚了[doge]
2021.12.21,1,开头为啥我听到了卧槽。
2021.12.21,1,多来点现象配音呀，三连了。
2021.12.21,1,我依然在寻找那个用四川话嘴臭我的视频
2021.12.21,1,手机提示有人更新很快啊我就想到了是我最爱的太太然后发现是几天前的视频你妹的哔哩哔哩[藏狐]
2021.12.21,1,卡没啦！
2021.12.21,1,天呐，好喜欢最后一个声音啊
2021.12.21,1,@墨墨一碰就倒
2021.12.21,1,我喜欢御姐音[doge]
2021.12.21,1,再次感叹声优都是怪物~
2021.12.21,1,卧槽
2021.12.21,1,[脸红][脸红][脸红]很好! 再来![保卫萝卜_笔芯][给心心]
2021.12.21,1,终于配这个系列的了吗[打call]
2021.12.21,1,"要我说女孩子呀，各有各的漂亮法。
有的眉目清泠，像是一整季的雪水都融在了她的眼睛里。
有的酒窝甜蜜，她笑一笑漫山遍野的风声都要消息。
有的天生绵软，你朝她挨过去，像碰着了一团云。
有的发汗时竟能生出浅浅的香气，散在天地间顿觉云销雨霁。
如何不漂亮呢? 她若是瘦，你便看她伸懒腰时优雅得像天鹅抻颈。
她若丰盈，你便看她日光底下肌肤亮起时有多绮丽。
她若生斑，你便赞她漂亮得发光上帝这才在她的眼角鼻翼投下了淡淡的影。
她若佝偻，你便赞她小小只多秀气刚刚好搂在怀里。
你瞧，女孩子生来就漂亮得不讲道理。就像甘雨一样，蘸上四分黄昏，三分月色，两分微醺，也写不出一分她的可爱[害羞]"
2021.12.21,1,我觉得恶搞好像挺有搞头的，像是骂我，或者鄙视我之类的[doge]，软声显得太普通寻常了
2021.12.21,1,这动画片是啥？
2021.12.21,1,全体目光向我看齐，我宣布个事，我是绫人[doge]
2021.12.21,1,话说这个动画是什么？想问一下[微笑]
2021.12.21,1,好棒！[雪狐桑_好棒]
2021.12.21,1,最后一个片段居然没有把我刀了
2021.12.21,1,这是什么动漫，还是游戏？
2021.12.21,1,昨天在直播间有幸听到太太配音[害羞]
2021.12.21,1,额滴圣剑！
2021.12.21,1,盖亚
2021.12.21,1,毫无违和感！
2021.12.21,1,这个作者突然又火了
2021.12.21,1,好家伙，双厨狂喜
2021.12.21,1,肯尼迪坐敞篷车——脑洞大开
2021.12.21,1,谢谢大家关注我太太
2021.12.20,1,[脸红][脸红]
2021.12.20,1,草 降智面具
2021.12.20,1,正在缓冲...[doge]
2021.12.20,1,《卧槽》[doge]
2021.12.20,1,[脸红][脸红]
2021.12.20,1,草 降智面具
2021.12.20,1,正在缓冲...[doge]
2021.12.20,1,《卧槽》[doge]
2021.12.20,1,第一个是什么番？
2021.12.20,1,双厨狂喜
2021.12.20,1,这是动漫吗，如果是的话，请告诉我名字
2021.12.20,1,卧槽
2021.12.20,1,太太今天穿的什么颜色呀[脸红][脸红][脸红][脸红][脸红]
2021.12.20,1,是不是被黄金船附体了啊，34秒哪里
2021.12.20,1,三连换赞[doge]
2021.12.20,1,太太有空有机会去配动漫，游戏吧
2021.12.20,1,奎恩打卡特
2021.12.20,1,[脸红]
2021.12.20,1,《卧槽》
2021.12.20,1,在直播听完了全部
2021.12.20,1,我以为是神里他哥来CV了
2021.12.20,1,这个小短片系列很好看，建议去关注一下
2021.12.20,1,能整个闹铃音乐啥的不，大早上的听见得多带劲，生活得多美好[妙啊]
2021.12.20,1,[热词系列_燃起来了]专业！
2021.12.20,1,“我是都督，了解我的人都知道，我是个胆小，且卑微的男孩子，今天却要来配音了，真是感觉，好！害！怕！呀！”
2021.12.20,1,字正腔圆的“卧槽”
2021.12.20,1,AWSL
2021.12.20,1,太太我喜欢你啊！
2021.12.20,1,有考虑出道卷死ta们吗
2021.12.20,1,开局中刀卧槽？？？
2021.12.22,1,"咔美辣！！！！
[Cat2_Boom!][Cat2_Boom!]"
2021.12.21,1,现象老师的作品太棒了！太太配音好好听[来古-注意]
2021.12.21,1,那个卧槽我蚌埠住了
2021.12.21,1,凌人的太太？[思考]
2021.12.22,1,《卧槽》
2021.12.22,1,我焯，爷真好看
2021.12.22,1,快来杀我[脸红]（迫切
2021.12.22,1,“卧槽”
2021.12.21,1,事实证明，旁白跟摄影师并不安全[doge]
2021.12.21,1,我是新粉，听说有特殊服务[脱单doge]
2021.12.21,1,[脸红]
2021.12.21,1,好怪哦[tv_白眼]怎么会关注到你的啊
2021.12.21,1,你康康我啊！[大哭]
2021.12.21,1,我蹲个厕所都有人来暗杀我？[热词系列_知识增加]
2021.12.21,1,我以为砍相机会绰[doge]
2021.12.21,1,那个电梯应该配，看什么看，不可以涩涩[doge]
2021.12.22,1,但凡太太配的奇怪点，那就是另一个故事[doge]
2021.12.22,1,小刀动作指导，七夜志贵
2021.12.22,1,[脸红]
2021.12.22,1,什么动漫？
2021.12.22,1,今天的内裤想要什么样的太太啊？
2021.12.22,1,片段出自哪啊
2021.12.21,1,这个是不是那个美人鱼短片那个作者？[tv_疑问][tv_疑问][tv_疑问]
2021.12.21,1,二仙桥声线是什么意思？来个太太踢我一jio[打call]
2021.12.21,1,别的大佬或许是配音，您这是切实经历吧。。
2021.12.22,1,"第一幕
爷：苏卡不列！！！"
2021.12.22,1,太太，我今天没穿[脸红]
2021.12.22,1,我的圣剑！
2021.12.22,1,看起来像是3渲2[支持]
2021.12.21,1,up好长阿[doge]
2021.12.21,1,"以前感觉痞老板是个神经病，竟然喜欢一台电脑，现在……
垂危病中惊坐起，老痞竟是我自己[藏狐]"
2021.12.21,1,大北路~哦依稀~[捂眼]
2021.12.22,1,所以这是什么作品
2021.12.22,1,双厨狂喜[星星眼]
2021.12.22,1,太棒啦！
2021.12.22,1,想知道这种动画是用什么制作的
2021.12.22,1,虽然但是，那个“卧槽”配的真的神仙，还有，黑色[傲娇]
2021.12.22,1,[笑哭]好中二
2021.12.22,1,"哎
不能多看
容易爱上声音"
2021.12.22,1,[脸红]
2021.12.21,1,只要太太回复我马上就三连[doge]
2021.12.21,1,咋瓦鲁多！
2021.12.21,1,还得是你[doge]
2021.12.21,1,这个原画的up主都是素材，希望太太多更
2021.12.22,1,[脸红]
2021.12.22,1,多来点这个系列真好看 直接关注了[OK]
2021.12.22,1,什么都没有那个卧槽好听[原神_欸嘿][原神_欸嘿][原神_欸嘿][原神_欸嘿]
2021.12.21,1,？？？？
2021.12.21,1,[脸红]
2021.12.21,1,什么动漫啊
2021.12.22,1,为啥不问我啊[大哭]
2021.12.21,1,路过
2021.12.22,1,woc
2021.12.22,1,我感觉你要是去给欧力给的视频配音肯定很好玩
2021.12.19,3,太太我来了，今天的颜色你猜不到[夏日狂欢_嚣张]
2021.12.19,4,太太啊，第一！
2021.12.22,1,这什么动漫啊
2021.12.20,1,啊啊啊啊~额滴社稷啊啊啊啊
2021.12.19,1,我是第四条狗
2021.12.19,1,这是什么动漫？还是什么游戏啊？
2021.12.22,1,太太不要越来越变态哦[害羞]太骚我不喜欢哦变态什么的最讨厌了哟不要仗着别人喜欢你就肆意妄为哦[阴险]
2021.12.19,1,在此别动，我先去浏览器找段骚话，没有回来就是误入歧途了
2021.12.19,1,好耶！
2021.12.19,1,？你不是在直播吗
2021.12.19,1,好耶[打call]
2021.12.19,1,[打call][打call][打call]
2021.12.19,1,为什么这么阳间
2021.12.19,1,哎嘿
2021.12.19,1,麻烦各位LS…不是，老实人，能不能按顺序说下大小，我听不出来
2021.12.19,1,(=・ω・=)
2021.12.19,1,你在看别的男人的内裤是吗？我的不可爱吗[脸红]
2021.12.19,1,第一第一！我永远喜欢太太！！[脸红][脸红]
2021.12.20,1,三连了，感觉有点惊艳，听上去好像突然配音水平进步了特别多，虽然我就是个臭看番的啥也不懂，总之就觉得配的更出色了
2021.12.20,1,把我的相机那段改成额滴圣剑将是绝杀[脸红]
2021.12.20,1,太太可千万不要太累了[脸红]赶紧喝口水去更新下一期吧[打call]
2021.12.20,1,啊，掉刀戳到我脑袋了！（对手：看看你守护了什么！[doge]）
2021.12.19,1,哈！
2021.12.19,1,来了
2021.12.20,1,开头结尾无缝衔接，单集循环直接无缝循环[脸红]
2021.12.20,1,怎么突然就流行起配安田现象老师的作品了……
2021.12.20,1,太太我稀饭你啊！！！[打call][打call][打call]
2021.12.20,1,【置顶】[脸红]第一次问大家要一键三连，可以吗？ 
2021.12.19,1,来了来了
2021.12.20,1,太太，我今天穿了开裆裤(
2021.12.19,1,沉浸感好棒！[热词系列_吹爆]
2021.12.19,2,最后有个正在加载[热词系列_知识增加]
2021.12.19,1,反正你要我就给，需求这种东西，可怠慢不得！！！
2021.12.19,1,我想听太太配bo良ki影[doge]
2021.12.19,1,球球太太给送毒鸡汤的配个音(1/+∞)
2021.12.19,1,为什么最后一帧是正在缓冲啊喂
2021.12.19,1,如果把太太娶了  让她天天叫我欧尼酱[滑稽]
2021.12.19,2,[热词系列_好耶]
2021.12.22,1,这是啥动画
2021.12.19,1,不是说好摄影师是无敌的吗！
2021.12.19,1,硬币给你了，赶快给我表演个：UP主觉得很赞    [滑稽]
2021.12.19,1,我今天吃太太内裤
2021.12.19,1,我这暴脾气，我直接当场对着屏幕吻起来[doge]
2021.12.19,1,原来爷是女的[doge]
2021.12.22,1,这是什么动漫
2021.12.19,1,"你那是喜欢吗
你那是饣"
2021.12.19,1,第三个是二仙桥声
2021.12.21,1,没配音的时候，我还以为，第一段我本来想说你不要过来呀！但发现拍视频的也是女生，所以就制止了这行为
2021.12.19,1,"太太！太太！太太！太太！太太！太太！太太！太太！太太！太太！太太！太太！
下次别被，，，"
2021.12.19,1,[脸红][脸红][脸红][脸红][脸红][脸红]
2021.12.19,1,你说有没有可能，这么多角色是一个人配的
2021.12.19,1,[星星眼][星星眼][星星眼]
2021.12.19,1,我摊牌了，今天我灰色[doge]
2021.12.19,1,专业哦
2021.12.19,1,太太太太，喜欢你就像拉稀，憋都憋不住
2021.12.19,1,wow是有感情的杀手哎
2021.12.19,1,别戳我眼睛，啊，淦
2021.12.19,1,What's up，梦幻联动！
2021.12.19,1,不懂就问，我想知道这种的动画短片都是哪里来的啊
2021.12.19,1,太太是不是进步了，感觉配的比以前更出色了[热词系列_知识增加][热词系列_吹爆]
2021.12.19,1,What's up，梦幻联动！
2021.12.19,1,不懂就问，我想知道这种的动画短片都是哪里来的啊
2021.12.19,1,太太是不是进步了，感觉配的比以前更出色了[热词系列_知识增加][热词系列_吹爆]
2021.12.19,1,新粉丝默默一下，太太今天穿的什么颜色[doge]
2021.12.19,1,妙啊[妙啊]
2021.12.19,1,啊哈哈！新视频来咯！[doge]
2021.12.19,1,卧槽虽迟但到[提摩西小队_喝水][提摩西小队_喝水]
2021.12.19,1,彳亍
2021.12.19,1,太太，今天我穿藏蓝色[吃瓜]
2021.12.19,1,我今天穿的铁裤衩[微笑]
2021.12.20,1,太太[翻白眼][翻白眼]太太[翻白眼][翻白眼]🤤🤤
2021.12.19,1,让我想想有什么骚话 嗯，我好骚哦[大笑]
2021.12.19,1,就记住了一句卧槽
2021.12.19,1,喜欢我双马尾吗ᥬ🌚᭄
2021.12.19,1,太太你还记得我吗？[脸红]
2021.12.19,1,《粉发现充C少女和白发无口A少女的橘色日常》[脱单doge]
2021.12.19,1,芜湖~
2021.12.19,1,emmmm，想不出骚话[傲娇][傲娇]
2021.12.19,1,一播放
2021.12.19,1,刚刚
2021.12.19,1,好喜欢太太说卧槽[脸红]
2021.12.19,1,好耶
2021.12.19,1,卧焯！
2021.12.19,1,[热词系列_好耶]
2021.12.21,0,Up有没有没听过ff14，是一个炒鸡冷门的rpg游戏，那里面主角全是哑巴，[大哭][大哭][大哭]想听主角开口
2021.12.22,0,脑袋上长摄像头的人终于开始被屠杀了！！喜大普奔！！
2021.12.23,0,多来点[OK]
2021.12.21,0,居然没有你他妈被我瓜
2021.12.20,0,这是什么动漫啊？
2021.12.20,0,太太是不是配过r18，感觉太熟练了吧[滑稽]
2021.12.19,0,配的很好 那请问是这什么番
2021.12.19,0,这个系列的是不是有一段跳楼的？
2021.12.19,0,今日份内裤，黑丝
2021.12.19,0,这是什么番呀
2021.12.19,1,今晚就这个声音，开导！[原神_嗯][原神_嗯]
2021.12.20,1,"嘿，很抱歉打断你🤚

耽误您20秒时间

如果可以的话

请你点进去看看这位父亲
@15花开      
关注一下河南南阳二中的校园恶劣事件
也许你的这一眼
就会让真相大白
拜托了（转）

注：朋友，我的本心只是想去让更多人知道，请各位不要误会这是道德绑架啊！"
2021.12.22,1,1：10「 あ↓、私のスマートフォンが!!」
2021.12.20,1,（￣▽￣）（￣▽￣）（￣▽￣）（￣▽￣）（￣▽￣）
2021.12.19,1,3分钟这么多人？
2021.12.19,100,才五分钟就有112个人评论，完了，抢不到热评论[大哭]
2021.12.21,1,🤤🤤🤤🤤🤤🤤🤤🤤🤤🤤🤤🤤🤤🤤🤤🤤🤤🤤🤤🤤🤤🤤🤤🤤🤤🤤🤤🤤🤤🤤🤤🤤🤤🤤🤤🤤🤤🤤🤤🤤🤤🤤🤤🤤🤤
2021.12.23,0,请问这个系列叫什么名字，作者是谁？
2021.12.23,0,这是游戏吗
2021.12.22,0,姥爷？姥爷个锤子，我直接举报这沙卵弹幕
2021.12.23,0,各位大佬，有不懂的问题该去哪里问？B站还是贴吧还是哪里？有很多疑惑，例如本子是怎么做的，哔咔是怎么来的？为什么网上没人讨论这些，都是发狗头，要讨论要私聊吗？
